ACTN_NBR,EMP_NBR,INCDT_DT,PROP_DT,DECN_DT,MISCND_CD,MISCND_SUB,ACTN_CD,SUSP_DAYS,SUSP_BEG_DT,INVEST_IND,INVEST_TYP,DECIDE_LVL,DECIDE_EMP_NBR,POSN_ABOLISH_IND
A00035,E01600,02/17/2025,05/16/2025,06/18/2025,TFL,Buddy punching,SP3,43,06/24/2025,N,,3,,N
A00036,E00605,01/18/2024,03/06/2024,05/08/2024,NEG,Inattention to duty,SP3,32,05/18/2024,N,,3,,N
A00037,E02069,10/18/2024,11/24/2024,12/21/2024,INS,Refusal of direct order,SP2,5,01/19/2025,Y,IAD,3,,N
A00038,E00860,03/15/2024,05/17/2024,06/28/2024,ATT,Leave abuse,WRP,0,,N,,1,E01068,N
A00039,E00311,09/04/2025,10/26/2025,12/10/2025,POL,Records access,SP2,5,12/31/2025,N,,3,,N
A00040,E00560,10/11/2025,11/15/2025,01/16/2026,ATT,Failure to report,CNS,0,,Y,IAD,1,E01067,N
A00041,E02423,03/26/2025,04/25/2025,05/11/2025,TRD,Repeated tardiness,CNS,0,,N,,1,E02709,N
A00042,E00913,11/16/2024,01/16/2025,02/01/2025,NEG,Post abandonment,SP1,2,02/19/2025,N,,2,,N
A00043,E00545,12/09/2025,01/14/2026,04/01/2026,HAR,Hostile conduct,WRP,0,,Y,IAD,1,E01100,N
A00044,E00369,12/18/2023,03/15/2024,05/13/2024,POL,Records access,SP1,3,06/05/2024,N,,2,,N
A00045,E00878,01/27/2026,04/25/2026,06/14/2026,NEG,Post abandonment,WRP,0,,Y,IAD,1,E01102,N
A00046,E00681,05/01/2025,06/29/2025,08/10/2025,ATT,Failure to report,WRP,0,,N,,1,E01065,N
A00047,E00961,12/28/2025,03/14/2026,04/21/2026,ATT,AWOL,CNS,0,,Y,SUP,1,E01107,N
A00048,E02047,04/14/2026,05/16/2026,06/13/2026,ATT,Unscheduled absence,CNS,0,,N,,1,E02233,N
A00049,E01222,07/22/2024,09/02/2024,10/05/2024,DRG,On-duty impairment,SP2,8,10/23/2024,Y,SUP,3,,N
A00050,E01884,05/02/2025,07/17/2025,08/02/2025,ATT,AWOL,WRP,0,,N,,1,E02268,N
A00051,E02723,12/11/2025,03/01/2026,04/12/2026,NEG,Inattention to duty,SP1,3,05/02/2026,Y,SUP,2,,N
A00052,E02021,01/23/2025,04/10/2025,05/12/2025,VEH,Preventable accident,SP2,6,05/27/2025,N,,3,,N
A00054,E01151,02/23/2025,02/28/2025,04/21/2025,ATT,Failure to report,CNS,0,,N,,1,E01251,N
A00055,E01151,05/29/2026,06/23/2026,07/30/2026,DRG,On-duty impairment,SP3,39,08/06/2026,Y,HRI,3,,N
A00056,E01736,01/20/2025,02/28/2025,05/24/2025,UOF,Excessive force,SP1,1,06/14/2025,Y,HRI,2,,N
A00057,E01247,11/12/2023,02/09/2024,05/03/2024,TRD,Late to shift,WRP,0,,N,,1,E01253,N
A00058,E00605,04/14/2024,04/27/2024,06/07/2024,TRD,Repeated tardiness,CNS,0,,N,,1,E01105,N
A00059,E02865,11/20/2024,12/10/2024,01/11/2025,ATT,Unscheduled absence,SP3,38,01/15/2025,N,,3,,N
A00060,E01257,10/31/2025,11/18/2025,01/07/2026,INS,Refusal of direct order,SP1,2,01/22/2026,Y,HRI,2,,N
A00061,E00007,01/27/2025,02/09/2025,03/30/2025,NEG,Failure to respond,WRP,0,,N,,1,E00500,N
A00062,E01758,05/15/2025,07/08/2025,07/19/2025,POL,Records access,SP1,1,07/31/2025,Y,SUP,2,,N
A00063,E00070,05/10/2025,06/09/2025,06/25/2025,CUB,Public conduct,WRP,0,,N,,1,E00503,N
A00064,E01574,11/30/2025,01/27/2026,03/22/2026,VEH,Pursuit policy violation,WRP,0,,N,,1,E01699,N
A00065,E01875,04/18/2025,06/16/2025,08/08/2025,TRD,Repeated tardiness,WRP,0,,Y,SUP,1,E02259,N
A00066,E01804,06/02/2024,08/08/2024,10/15/2024,ATT,Unscheduled absence,SP1,1,11/03/2024,N,,2,,N
A00067,E02654,09/25/2025,12/11/2025,01/30/2026,ODM,Off-duty arrest,WRP,0,,Y,IAD,1,E02689,N
A00069,E00439,02/14/2024,04/14/2024,05/30/2024,ATT,Unscheduled absence,WRP,0,,N,,1,E00486,N
A00070,E01259,09/28/2025,12/10/2025,01/29/2026,VEH,Preventable accident,CNS,0,,N,,1,,N
A00071,E01990,06/20/2026,08/11/2026,09/06/2026,ATT,Unscheduled absence,WRP,0,,N,,1,E02229,N
A00075,E00100,03/27/2025,06/28/2025,07/26/2025,DRG,Refusal to test,WRP,0,,Y,IAD,1,E00467,N
A00076,E02632,12/03/2023,01/11/2024,03/10/2024,CUB,Social media conduct,SP1,3,03/30/2024,N,,2,,N
A00079,E01763,02/07/2026,03/12/2026,03/26/2026,ATT,Failure to report,SP1,2,04/13/2026,Y,SUP,2,,N
A00080,E00258,04/22/2024,06/27/2024,08/06/2024,TRD,Late to shift,CNS,0,,N,,1,E00485,N
A00081,E00262,06/02/2025,07/02/2025,08/01/2025,ATT,Leave abuse,CNS,0,,N,,1,E00526,N
A00082,E02766,03/18/2025,04/22/2025,06/30/2025,ATT,AWOL,WRP,0,,N,,1,,N
A00083,E02946,06/14/2024,07/23/2024,09/22/2024,VEH,Unauthorized use,WRP,0,,N,,1,E03061,N
A00084,E01851,01/23/2024,04/01/2024,04/24/2024,POL,Report writing,CNS,0,,N,,1,E02246,N
A00087,E00355,06/12/2024,07/17/2024,08/08/2024,POL,Report writing,CNS,0,,N,,1,E00526,N
A00088,E02565,11/04/2024,01/26/2025,03/22/2025,ATT,Unscheduled absence,CNS,0,,N,,1,E02698,N
A00090,E03033,01/20/2026,04/06/2026,05/04/2026,TRD,Late to shift,WRP,0,,Y,SUP,1,E03056,N
A00092,E00054,10/10/2024,12/29/2024,02/05/2025,TRD,Late from break,CNS,0,,N,,1,E00474,N
A00093,E00374,08/01/2024,08/25/2024,11/03/2024,INS,Disrespect toward supervisor,RMV,0,,N,,4,,N
A00097,E02779,05/02/2025,05/22/2025,07/26/2025,DRG,On-duty impairment,SP2,4,08/20/2025,Y,SUP,3,,N
A00099,E02700,04/04/2024,04/30/2024,06/28/2024,NEG,Failure to respond,SP1,1,07/21/2024,N,,2,,N
A00104,E01951,08/09/2025,09/14/2025,11/06/2025,ATT,AWOL,SP1,3,11/23/2025,N,,2,,N
A00110,E02864,01/27/2026,03/06/2026,04/07/2026,ATT,Leave abuse,CNS,0,,N,,1,,N
A00112,E00962,09/30/2025,10/26/2025,12/07/2025,ATT,Unscheduled absence,SP1,3,12/16/2025,N,,2,,N
A00114,E01891,11/10/2024,12/03/2024,12/12/2024,TRD,Late to shift,CNS,0,,N,,1,E02236,N
A00115,E01961,01/17/2024,02/29/2024,03/12/2024,HAR,Hostile conduct,SP3,35,03/21/2024,Y,IAD,3,,N
A00116,E02325,07/04/2026,08/03/2026,08/19/2026,ATT,Leave abuse,SP1,2,09/10/2026,N,,2,,N
A00118,E02161,12/22/2024,01/08/2025,02/12/2025,POL,Records access,SP2,13,02/23/2025,N,,3,,N
A00119,E02034,05/24/2024,08/13/2024,09/03/2024,TRD,Repeated tardiness,CNS,0,,N,,1,E02257,N
A00120,E01591,11/15/2025,12/23/2025,01/28/2026,POL,Records access,WRP,0,,N,,1,E01693,N
A00122,E01063,03/10/2025,04/09/2025,05/08/2025,ATT,Failure to report,WRP,0,,N,,1,,N
A00123,E02432,03/18/2024,04/10/2024,04/24/2024,VEH,Unauthorized use,SP2,10,05/12/2024,Y,SUP,3,,N
A00124,E02744,04/12/2026,05/15/2026,05/29/2026,ATT,AWOL,CNS,0,,Y,IAD,1,,N
A00127,E01488,02/21/2024,03/28/2024,04/19/2024,ATT,Unscheduled absence,CNS,0,,Y,IAD,1,E01701,N
A00129,E02499,04/09/2025,05/17/2025,06/11/2025,ATT,AWOL,CNS,0,,N,,1,E02697,N
A00132,E01968,10/17/2025,12/21/2025,03/08/2026,ATT,Leave abuse,CNS,0,,N,,1,E02239,N
A00133,E01985,03/20/2024,06/19/2024,07/24/2024,HAR,Threats,RMV,0,,Y,HRI,4,,N
A00134,E00225,02/05/2025,04/24/2025,05/30/2025,ATT,Unscheduled absence,CNS,0,,N,,1,E00499,N
A00135,E00453,01/21/2024,02/11/2024,03/13/2024,ATT,Unscheduled absence,CNS,0,,N,,1,E00531,N
A00138,E01955,12/06/2025,12/24/2025,02/01/2026,CUB,Public conduct,WRP,0,,N,,1,E02250,N
A00140,E01204,07/06/2025,10/31/2025,11/26/2025,CUB,Social media conduct,CNS,0,,N,,1,E01264,N
A00141,E02140,05/14/2024,05/31/2024,07/07/2024,ATT,Failure to report,WRP,0,,N,,1,E02267,N
A00142,E01957,03/21/2024,05/02/2024,05/29/2024,INS,Disrespect toward supervisor,WRP,0,,N,,1,E02254,N
A00143,E02052,12/19/2023,01/13/2024,02/02/2024,TRD,Late from break,SP1,3,03/04/2024,N,,2,,N
A00145,E02122,01/05/2024,02/14/2024,04/02/2024,ATT,Leave abuse,CNS,0,,N,,1,E02265,N
A00146,E00467,02/19/2025,04/04/2025,04/16/2025,TFL,Unearned overtime claim,SP3,24,05/01/2025,Y,IAD,3,,N
A00147,E02419,12/21/2023,01/16/2024,04/05/2024,TRD,Repeated tardiness,WRP,0,,N,,1,E02699,N
A00148,E01979,10/02/2023,01/01/2024,02/11/2024,POL,Records access,RMV,0,,N,,4,,N
A00150,E01577,11/15/2024,02/03/2025,03/06/2025,ATT,Leave abuse,CNS,0,,N,,1,E01668,N
A00152,E00045,05/26/2025,06/15/2025,07/15/2025,TRD,Repeated tardiness,SP1,2,08/03/2025,N,,2,,N
A00154,E01087,04/25/2025,03/24/2025,03/06/2025,POL,Safety procedure,CNS,0,,Y,IAD,1,,N
A00155,E02090,06/18/2025,08/04/2025,08/15/2025,TRD,Late to shift,CNS,0,,N,,1,E02266,N
A00156,E01158,07/15/2025,08/21/2025,11/06/2025,TRD,Late to shift,SP1,1,12/02/2025,Y,HRI,2,,N
A00157,E01787,10/27/2023,12/15/2023,02/26/2024,TRD,Repeated tardiness,CNS,0,,N,,1,E02230,N
A00159,E01450,07/02/2024,08/06/2024,08/23/2024,INS,Disrespect toward supervisor,SP1,1,09/02/2024,Y,HRI,2,,N
A00160,E00070,08/16/2025,10/16/2025,12/13/2025,ATT,AWOL,SP1,2,01/16/2026,N,,2,,N
A00161,E00408,10/04/2025,01/23/2026,02/11/2026,ATT,Leave abuse,CNS,0,,N,,1,E00485,N
A00162,E02429,11/03/2024,12/26/2024,02/03/2025,NEG,Failure to respond,WRP,0,,N,,1,E02682,N
A00163,E02237,04/11/2024,06/17/2024,08/21/2024,VEH,Pursuit policy violation,CNS,0,,N,,1,,N
A00165,E02291,04/12/2025,07/19/2025,08/05/2025,TRD,Late to shift,CNS,0,,N,,1,E02692,N
A00170,E01794,11/24/2024,01/04/2025,02/21/2025,NEG,Failure to respond,SP1,2,03/14/2025,N,,2,,N
A00171,E01167,05/15/2024,09/03/2024,09/23/2024,INS,Refusal of direct order,CNS,0,,Y,HRI,1,E01254,N
A00174,E01568,03/16/2025,04/14/2025,06/15/2025,CUB,Social media conduct,SP1,1,07/13/2025,Y,SUP,2,,N
A00178,E00075,07/14/2024,08/26/2024,10/31/2024,CUB,Untruthfulness,SP1,22,11/11/2024,N,,2,,N
A00188,E01935,06/30/2024,08/19/2024,09/04/2024,ATT,Failure to report,SP1,2,09/18/2024,N,,2,,N
A00190,E01296,12/08/2025,12/24/2025,02/10/2026,VEH,Preventable accident,WRP,0,,N,,1,E01698,N
A00191,E01885,12/09/2023,01/22/2024,02/14/2024,INS,Refusal of direct order,CNS,0,,N,,1,E02254,N
A00194,E02293,06/25/2024,07/13/2024,08/02/2024,TRD,Late to shift,CNS,0,,Y,SUP,1,E02712,N
A00195,E01891,05/29/2026,06/19/2026,07/11/2026,TRD,Repeated tardiness,CNS,0,,Y,HRI,1,E02236,N
A00205,E01752,06/02/2024,08/26/2024,09/20/2024,ATT,AWOL,SP2,5,09/27/2024,N,,3,,N
A00207,E01926,12/20/2024,02/09/2025,04/11/2025,TRD,Repeated tardiness,CNS,0,,N,,1,E02242,N
A00209,E02556,05/01/2026,06/06/2026,06/20/2026,ATT,Unscheduled absence,CNS,0,,N,,1,E02710,N
A00210,E01788,04/02/2024,04/16/2024,05/03/2024,ATT,AWOL,SP1,2,05/11/2024,N,,2,,N
A00211,E01358,12/26/2024,02/12/2025,03/05/2025,VEH,Unauthorized use,SP3,22,03/26/2025,N,,3,,N
A00214,E01421,10/04/2024,12/06/2024,01/18/2025,ATT,Leave abuse,CNS,0,,Y,IAD,1,E01675,N
A00217,E01119,02/11/2025,04/04/2025,05/30/2025,ATT,Unscheduled absence,SP1,2,06/12/2025,N,,2,,N
A00220,E01121,02/09/2026,02/23/2026,04/19/2026,ATT,Unscheduled absence,CNS,0,,N,,1,,N
A00223,E01868,05/31/2024,07/23/2024,10/09/2024,INS,Disrespect toward supervisor,RMV,0,,N,,4,,N
A00225,E01455,09/28/2024,10/31/2024,12/14/2024,POL,Evidence handling,CNS,0,,N,,1,E01704,N
A00227,E02744,12/05/2025,01/10/2026,03/02/2026,ATT,Leave abuse,WRP,0,,N,,1,,N
A00228,E01541,02/05/2026,02/11/2026,04/12/2026,TFL,Unearned overtime claim,RMV,0,,Y,IAD,4,,N
A00229,E01559,08/08/2026,08/21/2026,09/16/2026,CUB,Social media conduct,RMV,0,,Y,SUP,4,,N
A00230,E01353,04/05/2024,04/23/2024,05/16/2024,VEH,Unauthorized use,WRP,0,,N,,1,E01692,N
A00231,E00080,09/27/2025,11/23/2025,12/14/2025,INS,Refusal of direct order,CNS,0,,N,,1,E00523,N
A00232,E01990,01/26/2024,04/21/2024,05/16/2024,ATT,AWOL,SP2,5,06/14/2024,N,,3,,N
A00233,E01544,06/12/2024,07/29/2024,10/11/2024,VEH,Pursuit policy violation,WRP,0,,N,,1,E01675,N
A00238,E01210,04/30/2025,05/21/2025,07/11/2025,CUB,Social media conduct,SP2,9,07/20/2025,N,,3,,N
A00240,E01526,09/11/2025,10/04/2025,11/19/2025,CUB,Public conduct,CNS,0,,Y,SUP,1,E01709,N
A00242,E02564,12/18/2025,01/20/2026,02/10/2026,NEG,Inattention to duty,SP2,4,02/20/2026,N,,3,,N
A00244,E01157,10/09/2023,12/02/2023,02/05/2024,TRD,Late to shift,CNS,0,,N,,1,E01264,N
A00245,E02745,09/24/2023,11/05/2023,12/08/2023,NEG,Inattention to duty,SP1,1,12/18/2023,Y,HRI,2,,N
A00248,E02812,02/08/2026,02/26/2026,04/05/2026,TRD,Late from break,CNS,0,,N,,1,,N
A00249,E02444,04/27/2025,05/27/2025,06/17/2025,ATT,Unscheduled absence,CNS,0,,Y,SUP,1,E02711,N
A00253,E02650,04/16/2025,05/13/2025,06/07/2025,TRD,Late from break,CNS,0,,N,,1,E02712,N
A00257,E02422,04/25/2025,05/12/2025,07/15/2025,CUB,Public conduct,SP2,8,07/26/2025,N,,3,,N
A00259,E02654,10/28/2023,12/27/2023,02/05/2024,ATT,Unscheduled absence,WRP,0,,N,,1,E02689,N
A00261,E01843,03/19/2024,04/16/2024,05/01/2024,ODM,Off-duty conduct,SP2,14,05/21/2024,N,,3,,N
A00262,E01725,02/26/2024,04/08/2024,06/12/2024,NEG,Inattention to duty,WRP,0,,Y,HRI,1,E02259,N
A00265,E02516,07/29/2024,09/30/2024,11/18/2024,POL,Safety procedure,SP3,17,11/25/2024,Y,SUP,3,,N
A00266,E02545,03/07/2024,04/16/2024,06/21/2024,CUB,Public conduct,WRP,0,,N,,1,E02715,N
A00273,E00477,07/12/2026,07/29/2026,08/16/2026,ATT,Unscheduled absence,CNS,0,,Y,HRI,1,,N
A00276,E01512,01/19/2025,04/09/2025,04/27/2025,INS,Disrespect toward supervisor,CNS,0,,N,,1,E01673,N
A00281,E01071,03/29/2024,05/27/2024,06/19/2024,POL,Evidence handling,WRP,0,,Y,IAD,1,,N
A00282,E01543,12/10/2024,02/09/2025,04/19/2025,NEG,Post abandonment,SP3,35,05/14/2025,N,,3,,N
A00283,E01703,12/23/2025,03/17/2026,04/26/2026,CUB,Public conduct,CNS,0,,Y,IAD,1,,N
A00284,E00225,08/23/2025,10/02/2025,11/24/2025,CUB,Social media conduct,CNS,0,,Y,IAD,1,E00499,N
A00289,E01141,11/16/2025,01/14/2026,03/11/2026,VEH,Pursuit policy violation,SP1,1,03/25/2026,N,,2,,N
A00291,E00913,04/07/2025,06/28/2025,07/23/2025,TRD,Late from break,CNS,0,,N,,1,E01093,N
A00296,E00369,12/15/2023,01/13/2024,02/10/2024,DRG,Refusal to test,SP3,17,03/04/2024,N,,3,,N
A00297,E00499,07/11/2025,08/02/2025,09/15/2025,ODM,Off-duty arrest,CNS,0,,N,,1,,N
A00300,E01296,06/15/2025,09/07/2025,10/21/2025,ATT,Leave abuse,WRP,0,,N,,1,E01698,N
A00302,E01394,04/13/2026,05/26/2026,08/03/2026,NEG,Inattention to duty,WRP,0,,N,,1,E01678,N
A00309,E01870,05/02/2025,05/28/2025,06/07/2025,NEG,Post abandonment,CNS,0,,N,,1,E02254,N
A00311,E02231,01/11/2024,02/08/2024,02/26/2024,INS,Disrespect toward supervisor,CNS,0,,N,,1,,N
A00312,E02627,05/27/2024,08/20/2024,10/12/2024,INS,Disrespect toward supervisor,WRP,0,,N,,1,E02700,N
A00313,E01386,06/21/2024,07/05/2024,09/04/2024,ODM,Off-duty arrest,SP3,34,09/17/2024,Y,HRI,3,,N
A00314,E00545,04/01/2024,05/28/2024,08/11/2024,ATT,Unscheduled absence,SP1,3,09/11/2024,N,,2,,N
A00320,E02282,02/17/2026,05/16/2026,06/30/2026,INS,Disrespect toward supervisor,SP1,3,07/09/2026,Y,HRI,2,,N
A00340,E01247,01/04/2024,02/08/2024,03/01/2024,TRD,Late to shift,CNS,0,,N,,1,E01253,N
A00342,E01199,02/11/2026,03/28/2026,04/21/2026,ATT,Unscheduled absence,SP1,3,04/30/2026,Y,SUP,2,,N
A00343,E00477,02/04/2025,05/08/2025,05/26/2025,ATT,Leave abuse,CNS,0,,N,,1,,N
A00344,E01210,02/20/2025,04/14/2025,04/22/2025,VEH,Unauthorized use,SP1,3,05/08/2025,Y,SUP,2,,N
A00345,E00958,06/26/2025,08/15/2025,08/31/2025,TFL,Buddy punching,RMV,0,,Y,SUP,4,,N
A00348,E01695,07/03/2025,08/29/2025,10/21/2025,TRD,Late from break,CNS,0,,N,,1,,N
A00349,E02395,10/18/2024,11/29/2024,12/19/2024,POL,Safety procedure,WRP,0,,N,,1,E02715,N
A00354,E02343,06/25/2026,08/23/2026,09/10/2026,TRD,Late to shift,WRP,0,,N,,1,E02705,N
A00355,E02591,09/28/2025,11/20/2025,12/07/2025,TRD,Late from break,WRP,0,,N,,1,E02693,N
A00357,E00461,03/29/2025,06/01/2025,07/18/2025,POL,Records access,WRP,0,,N,,1,,N
A00359,E02657,12/11/2023,01/17/2024,02/16/2024,ATT,Leave abuse,CNS,0,,Y,HRI,1,E02707,N
A00366,E00862,04/21/2026,05/24/2026,07/03/2026,TRD,Repeated tardiness,CNS,0,,N,,1,E01108,N
A00367,E01101,02/15/2025,03/19/2025,04/14/2025,ATT,AWOL,RMV,0,,N,,4,,N
A00376,E02343,06/27/2024,08/04/2024,09/20/2024,POL,Evidence handling,RMV,0,,Y,SUP,4,,N
A00380,E00496,01/07/2025,02/17/2025,03/27/2025,POL,Report writing,WRP,0,,N,,1,,N
A00384,E02639,10/18/2025,12/06/2025,02/03/2026,TRD,Late from break,WRP,0,,N,,1,E02692,N
A00385,E02437,05/03/2025,06/24/2025,07/10/2025,TFL,Unearned overtime claim,SP3,17,07/25/2025,Y,HRI,3,,N
A00386,E01811,12/19/2025,01/09/2026,01/30/2026,ATT,Unscheduled absence,WRP,0,,N,,1,E02246,N
A00388,E01731,12/07/2024,12/29/2024,01/11/2025,ATT,Failure to report,CNS,0,,N,,1,E02235,N
A00394,E01132,09/11/2024,10/03/2024,11/11/2024,DRG,On-duty impairment,SP2,10,11/24/2024,Y,HRI,3,,N
A00402,E01154,04/12/2025,06/16/2025,08/05/2025,CUB,Untruthfulness,CNS,0,,N,,1,E01263,N
A00403,E01788,11/04/2024,02/16/2025,04/27/2025,POL,Evidence handling,SP1,22,05/05/2025,Y,SUP,2,,N
A00404,E02667,08/11/2024,10/26/2024,01/15/2025,ATT,AWOL,SP1,1,02/13/2025,N,,2,,N
A00410,E02330,07/19/2024,10/07/2024,11/05/2024,VEH,Preventable accident,CNS,0,,N,,1,E02684,N
A00414,E01111,11/19/2023,12/04/2023,12/19/2023,TRD,Late to shift,CNS,0,,N,,1,,N
A00415,E01159,12/31/2024,02/07/2025,03/28/2025,NEG,Post abandonment,SP2,9,04/07/2025,Y,IAD,3,,N
A00416,E02774,05/28/2025,07/15/2025,09/16/2025,VEH,Preventable accident,SP2,12,10/11/2025,Y,IAD,3,,N
A00423,E02895,08/17/2024,09/29/2024,12/05/2024,ATT,Failure to report,CNS,0,,N,,1,,N
A00432,E01141,12/05/2024,02/08/2025,04/01/2025,POL,Report writing,WRP,0,,N,,1,E01261,N
A00433,E02676,12/20/2023,02/03/2024,03/09/2024,CUB,Social media conduct,WRP,0,,N,,1,E02702,N
A00437,E02784,12/06/2025,01/18/2026,03/13/2026,POL,Safety procedure,SP2,9,03/26/2026,N,,3,,N
A00438,E02965,05/14/2024,07/04/2024,07/16/2024,ATT,Unscheduled absence,WRP,0,,N,,1,E03053,N
A00439,E02034,12/01/2024,01/11/2025,02/20/2025,POL,Safety procedure,SP2,5,03/02/2025,N,,3,,N
A00455,E02589,07/09/2024,08/05/2024,09/16/2024,INS,Disrespect toward supervisor,WRP,0,,N,,1,E02708,N
A00466,E01103,07/31/2025,09/07/2025,09/13/2025,POL,Evidence handling,SP1,2,10/08/2025,N,,2,,N
A00468,E02619,10/22/2023,12/17/2023,01/04/2024,ATT,Unscheduled absence,SP1,1,01/24/2024,N,,2,,N
A00470,E01875,05/20/2026,06/27/2026,07/20/2026,ATT,AWOL,CNS,0,,N,,1,E02259,N
A00471,E01512,04/11/2026,05/16/2026,06/16/2026,CUB,Untruthfulness,WRP,0,,Y,IAD,1,E01673,N
A00472,E02626,11/04/2023,12/19/2023,01/06/2024,ATT,AWOL,RMV,0,,N,,4,,N
A00474,E02655,03/05/2025,04/02/2025,05/12/2025,INS,Refusal of direct order,WRP,0,,N,,1,E02716,N
A00478,E02445,06/30/2026,08/15/2026,09/15/2026,TRD,Late to shift,WRP,0,,N,,1,E02694,N
A00483,E02821,10/24/2025,01/01/2026,03/04/2026,HAR,Hostile conduct,SP2,7,03/19/2026,Y,HRI,3,,N
A00484,E02874,01/11/2024,02/17/2024,04/12/2024,VEH,Pursuit policy violation,WRP,0,,N,,1,,N
A00489,E02505,02/05/2025,02/21/2025,04/25/2025,TFL,Unearned overtime claim,SP1,1,05/08/2025,Y,HRI,2,,N
A00498,E01137,05/16/2025,07/13/2025,09/18/2025,POL,Evidence handling,CNS,0,,Y,HRI,1,E01255,N
A00500,E00820,08/08/2025,09/06/2025,11/12/2025,ODM,Off-duty arrest,CNS,0,,N,,1,E01097,N
A00505,E03020,04/17/2024,03/05/2024,01/26/2024,POL,Safety procedure,DEM,0,,N,,4,,N
